# Vertice positions
# idx; name; position
0; "Point 1"; (0,15)
1; "_1"; (0,5)
2; "_2"; (10,15)
3; "_3"; (10,5)
4; "Point 2"; (20, 25)
5; "_4"; (20,15)
6; "_5"; (20,5)
7; "_6"; (20,0)
8; "_7"; (30,15)
9; "_8"; (30,5)
10; "Point 3"; (30,0)

# Connections matrix
 0; 10; 10; -1; -1; -1; -1; -1; -1; -1; -1
10;  0; -1; 10; -1; -1; -1; -1; -1; -1; -1
10; -1;  0; 10; -1; 10; -1; -1; -1; -1; -1
-1; 10; 10;  0; -1; -1; -1; -1; -1; -1; -1
-1; -1; -1; -1;  0; 10; -1; -1; -1; -1; -1
-1; -1; 10; -1; 10;  0; 10; -1; 10; -1; -1
-1; -1; -1; 10; -1; 10;  0;  5; -1; 10; -1
-1; -1; -1; -1; -1; -1;  5;  0; -1; -1; 10
-1; -1; -1; -1; -1; 10; -1; -1;  0; 10; -1
-1; -1; -1; -1; -1; -1; 10; -1; 10;  0;  5
-1; -1; -1; -1; -1; -1; -1; 10; -1;  5;  0
